major_code,major_name
ICCD,Communication Design
ICAP,Animation Production
ICFP,Film Production
ICTP,Television Production
ICCU,Intercultural Studies and Languages
ICSS,Social Science
ICBE,Business Economics
ICMF,Finance
ICMI,International Business 
ICMK,Marketing
ICIH,International Hospitality Management
ICMC,Media and Communication
ICCI,Computer Engineering
ICAM,Applied Mathematics
ICBI,Biological Sciences
ICCH,Chemistry
ICCS,Computer Science
ICEN,Environment
ICFS,Food Science and Technology
ICPY,Physics
